product_id,product_name,brand,product_type,hair_issue,key_ingredients,rating,description,hair_issue_def,treatment,caused_by,product_image
1,Nioxin System 2 Cleanser Shampoo,Nioxin,Shampoo,Alopecia Areata,Biotin,4.6,Designed to provide thicker-looking hair and a healthy scalp.,A common scalp condition that causes flaky skin.,"Prevention: Regular use of anti-dandruff shampoos, maintaining scalp hygiene. Diagnosis: Clinical examination by a dermatologist. Treatment: Anti-dandruff shampoos containing active ingredients like pyrithione zinc, selenium sulfide, ketoconazole, etc. Rehabilitation: Ongoing use of maintenance treatments, avoiding triggers like stress and certain hair products.","Malassezia yeast, seborrheic dermatitis, sensitivity to hair care products.",https://zennkai.com/cdn/shop/products/NIOXIN_SYSTEM_2_CLEANSE_300ML_1024x.jpg?v=1612150764
2,Keranique Scalp Stimulating Shampoo,Keranique,Shampoo,Alopecia Areata,Ketoconazole,4.3,Stimulates the scalp and revitalizes the hair follicles.,A common scalp condition that causes flaky skin.,"Prevention: Regular use of anti-dandruff shampoos, maintaining scalp hygiene. Diagnosis: Clinical examination by a dermatologist. Treatment: Anti-dandruff shampoos containing active ingredients like pyrithione zinc, selenium sulfide, ketoconazole, etc. Rehabilitation: Ongoing use of maintenance treatments, avoiding triggers like stress and certain hair products.","Malassezia yeast, seborrheic dermatitis, sensitivity to hair care products.",https://images.tokopedia.net/img/cache/700/hDjmkQ/2021/12/10/83ce14d5-bece-475f-8bd3-c258321549dd.jpg
3,HairGenics Pronexa Hair Therapy Shampoo,HairGenics,Shampoo,Alopecia Areata,DHT Blockers,4.5,Promotes hair growth by blocking DHT.,A common scalp condition that causes flaky skin.,"Prevention: Regular use of anti-dandruff shampoos, maintaining scalp hygiene. Diagnosis: Clinical examination by a dermatologist. Treatment: Anti-dandruff shampoos containing active ingredients like pyrithione zinc, selenium sulfide, ketoconazole, etc. Rehabilitation: Ongoing use of maintenance treatments, avoiding triggers like stress and certain hair products.","Malassezia yeast, seborrheic dermatitis, sensitivity to hair care products.",https://images-na.ssl-images-amazon.com/images/I/51e2SQC9-8L._AC_UL210_SR210,210_.jpg
4,Pura D'or Original Gold Label Anti-Thinning Shampoo,Pura D'or,Shampoo,Alopecia Areata,Argan Oil,4.4,Nourishes and strengthens hair while reducing thinning.,A common scalp condition that causes flaky skin.,"Prevention: Regular use of anti-dandruff shampoos, maintaining scalp hygiene. Diagnosis: Clinical examination by a dermatologist. Treatment: Anti-dandruff shampoos containing active ingredients like pyrithione zinc, selenium sulfide, ketoconazole, etc. Rehabilitation: Ongoing use of maintenance treatments, avoiding triggers like stress and certain hair products.","Malassezia yeast, seborrheic dermatitis, sensitivity to hair care products.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPXzvUyS4XtjqLcsvRfCf8wsO4Koa5bwKQxQ&s
5,Biotin Shampoo for Hair Growth,Maple Holistics,Shampoo,Alopecia Areata,Biotin,4.5,Enhances hair growth and reduces breakage.,A common scalp condition that causes flaky skin.,"Prevention: Regular use of anti-dandruff shampoos, maintaining scalp hygiene. Diagnosis: Clinical examination by a dermatologist. Treatment: Anti-dandruff shampoos containing active ingredients like pyrithione zinc, selenium sulfide, ketoconazole, etc. Rehabilitation: Ongoing use of maintenance treatments, avoiding triggers like stress and certain hair products.","Malassezia yeast, seborrheic dermatitis, sensitivity to hair care products.",https://m.media-amazon.com/images/I/61KHVdJ6r-L.jpg
6,Free & Clear Shampoo,Vanicream,Shampoo,Contact Dermatitis,Glycerin,4.4,Gentle non-irritating formula for sensitive scalps.,An inflammatory reaction of the skin due to contact with an allergen or irritant.,"Prevention: Avoidance of known irritants and allergens.Diagnosis: Patch testing.Treatment: Topical corticosteroids, use of gentle shampoos with soothing ingredients like aloe vera, urea.Rehabilitation: Identifying and avoiding triggers, using protective measures.",Allergic reaction or irritation from hair care products.,https://images.tokopedia.net/img/cache/700/hDjmkQ/2021/11/24/e0e35948-393a-440e-b2e2-7734d1cbcadc.jpg
7,Vanicream Free & Clear Hair Conditioner,Vanicream,Conditioner,Contact Dermatitis,Glycerin,4.2,Moisturizes and conditions hair without irritating the scalp.,An inflammatory reaction of the skin due to contact with an allergen or irritant.,"Prevention: Avoidance of known irritants and allergens.Diagnosis: Patch testing.Treatment: Topical corticosteroids, use of gentle shampoos with soothing ingredients like aloe vera, urea.Rehabilitation: Identifying and avoiding triggers, using protective measures.",Allergic reaction or irritation from hair care products.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRE5DVoxMLcxSjxpoIZzTSRI4Rlg0dlOMxL6w&s
8,Biolage R.A.W. Nourish Shampoo,Biolage,Shampoo,Contact Dermatitis,Honey,4.6,Nourishing shampoo with natural ingredients for sensitive skin.,An inflammatory reaction of the skin due to contact with an allergen or irritant.,"Prevention: Avoidance of known irritants and allergens.Diagnosis: Patch testing.Treatment: Topical corticosteroids, use of gentle shampoos with soothing ingredients like aloe vera, urea.Rehabilitation: Identifying and avoiding triggers, using protective measures.",Allergic reaction or irritation from hair care products.,https://id.ozcosmetics.com/prodimgs/202103/222765.jpg
9,Dermarest Psoriasis Medicated Shampoo,Dermarest,Shampoo,Contact Dermatitis,Salicylic Acid,4.3,Targets scalp irritation and helps reduce symptoms of psoriasis.,An inflammatory reaction of the skin due to contact with an allergen or irritant.,"Prevention: Avoidance of known irritants and allergens.Diagnosis: Patch testing.Treatment: Topical corticosteroids, use of gentle shampoos with soothing ingredients like aloe vera, urea.Rehabilitation: Identifying and avoiding triggers, using protective measures.",Allergic reaction or irritation from hair care products.,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/dmr/dmr73020/y/6.jpg
10,Neutrogena T/Gel Therapeutic Shampoo,Neutrogena,Shampoo,Contact Dermatitis,Coal Tar,4.5,Clinically proven to control itching and flaking.,An inflammatory reaction of the skin due to contact with an allergen or irritant.,"Prevention: Avoidance of known irritants and allergens.Diagnosis: Patch testing.Treatment: Topical corticosteroids, use of gentle shampoos with soothing ingredients like aloe vera, urea.Rehabilitation: Identifying and avoiding triggers, using protective measures.",Allergic reaction or irritation from hair care products.,https://img.ws.mms.shopee.co.id/sg-11134201-22100-y1eia0btu9iv89
